Priority,element,X,Y,Speed,Angle,Altitude,Satellites,IO,239,240,21,200,69,113,181,182,66,24,67,68,241,Timestamp,EventSource,
0,,862302750,276367633,0,10,1981,17,,0,0,5,0,1,100,12,6,12217,0,4122,0,42902,1705342597000,0,
0,,862302750,276367633,0,10,1981,17,,0,0,5,0,1,100,9,6,12221,0,4122,0,42902,1705342717000,0,
0,,862302750,276367633,0,10,1981,16,,0,0,5,0,1,100,12,6,12221,0,4122,0,42902,1705342837000,0,
0,,862302750,276367633,0,10,1981,15,,0,0,5,0,1,100,10,7,12221,0,4122,0,42902,1705342957000,0,
0,,862302750,276367633,0,10,1981,15,,0,0,5,0,1,100,10,7,12221,0,4122,0,42902,1705343077000,0,
0,,862302750,276367633,0,10,1981,15,,0,0,5,0,1,100,15,8,12221,0,4122,0,42902,1705343197000,0,
0,,862302750,276367633,0,10,1981,15,,0,0,5,0,1,100,10,7,12221,0,4122,0,42902,1705343317000,0,
0,,862302750,276367633,0,10,1981,16,,0,0,5,0,1,100,11,7,12221,0,4121,0,42902,1705343437000,0,
0,,862302750,276367633,0,10,1981,14,,0,0,5,0,1,100,10,7,12213,0,4122,0,42902,1705343557000,0,
0,,862302750,276367633,0,10,1981,15,,0,0,5,0,1,100,15,8,12214,0,4122,0,42902,1705343677000,0,
0,,862302750,276367633,0,10,1981,15,,0,0,5,0,1,100,11,7,12221,0,4122,0,42902,1705343797000,0,
0,,862302750,276367633,0,10,1981,15,,0,0,5,0,1,100,11,8,12216,0,4122,0,42902,1705343917000,0,
0,,862302750,276367633,0,10,1981,17,,0,0,5,0,1,100,10,6,12221,0,4122,0,42902,1705344037000,0,
0,,862302750,276367633,0,10,1981,16,,0,0,5,0,1,100,13,7,12221,0,4122,0,42902,1705344157000,0,
0,,862302750,276367633,0,10,1981,18,,0,0,5,0,1,100,9,6,12179,0,4122,0,42902,1705344277000,0,
0,,862302750,276367633,0,10,1981,17,,0,0,5,0,1,100,13,7,12221,0,4122,0,42902,1705344397000,0,
0,,862302750,276367633,0,10,1981,18,,0,0,5,0,1,100,9,6,12221,0,4122,0,42902,1705344517000,0,
0,,862302750,276367633,0,10,1981,17,,0,0,5,0,1,100,10,6,12114,0,4121,0,42902,1705344637000,0,
0,,862302750,276367633,0,10,1981,18,,0,0,5,0,1,100,12,6,12221,0,4122,0,42902,1705344757000,0,
0,,862302750,276367633,0,10,1981,16,,0,0,5,0,1,100,11,6,12221,0,4122,0,42902,1705344877000,0,
0,,862302750,276367633,0,10,1981,17,,0,0,5,0,1,100,10,6,12110,0,4121,0,42902,1705344997000,0,
0,,862302750,276367633,0,10,1981,17,,0,0,5,0,1,100,12,6,12221,0,4122,0,42902,1705345117000,0,
0,,862302750,276367633,0,10,1981,17,,0,0,5,0,1,100,9,6,12221,0,4122,0,42902,1705345237000,0,
0,,862302750,276367633,0,10,1981,17,,0,0,5,0,1,100,12,6,12094,0,4120,0,42902,1705345357000,0,
0,,862302750,276367633,0,10,1981,16,,0,0,5,0,1,100,10,6,12221,0,4122,0,42902,1705345477000,0,
0,,862302750,276367633,0,10,1981,14,,0,0,5,0,1,100,15,7,12221,0,4122,0,42902,1705345597000,0,
0,,862302750,276367633,0,10,1981,16,,0,0,5,0,1,100,10,6,12128,0,4121,0,42902,1705345717000,0,
0,,862302750,276367633,0,10,1981,15,,0,0,5,0,1,100,10,6,12221,0,4122,0,42902,1705345837000,0,
0,,862302750,276367633,0,10,1981,15,,0,0,5,0,1,100,10,7,12221,0,4122,0,42902,1705345957000,0,
0,,862302750,276367633,0,10,1989,14,,0,0,5,0,1,100,10,7,12133,0,4122,0,42902,1705346077000,0,
0,,862302750,276367633,0,10,1989,14,,0,0,5,0,1,100,11,7,12221,0,4122,0,42902,1705346197000,0,
0,,862302750,276367633,0,10,1989,14,,0,0,5,0,1,100,10,7,12221,0,4122,0,42902,1705346317000,0,
0,,862302750,276367633,0,10,1989,15,,0,0,5,0,1,100,10,7,12111,0,4120,0,42902,1705346437000,0,
0,,862302750,276367633,0,10,1989,15,,0,0,5,0,1,100,14,7,12212,0,4122,0,42902,1705346557000,0,
0,,862302750,276367633,0,10,1989,15,,0,0,5,0,1,100,11,7,12221,0,4122,0,42902,1705346677000,0,
0,,862302750,276367633,0,10,1990,15,,0,0,5,0,1,100,10,7,12131,0,4121,0,42902,1705346797000,0,
0,,862302750,276367633,0,10,1990,16,,0,0,5,0,1,100,10,6,12221,0,4122,0,42902,1705346917000,0,
0,,862302750,276367633,0,10,1990,15,,0,0,5,0,1,100,10,7,12221,0,4122,0,42902,1705347037000,0,
0,,862302750,276367633,0,10,1990,11,,0,0,5,0,1,100,13,8,12118,0,4121,0,42902,1705347157000,0,
