X,Y,Speed,Angle,Altitude,Satellites,Timestamp
860594266,273804983,0,77,575,15,1.70459E+12
860594266,273804983,0,77,575,14,1.70459E+12
860594266,273804983,0,77,575,16,1.70459E+12
860594266,273804983,0,77,575,17,1.70459E+12
860594266,273804983,0,77,575,16,1.70459E+12
860594266,273804983,0,77,575,16,1.70459E+12
860594266,273804983,7,135,575,15,1.70459E+12
860595099,273804200,22,130,577,13,1.70459E+12
860598733,273802183,31,111,577,13,1.70459E+12
860599650,273802016,31,98,578,13,1.70459E+12
860606133,273801533,25,110,575,15,1.70459E+12
860614866,273798666,27,88,571,14,1.70459E+12
860615583,273798800,26,77,570,13,1.70459E+12
860618383,273799266,24,96,569,15,1.70459E+12
860619033,273799083,25,110,568,14,1.70459E+12
860620100,273798366,26,127,567,14,1.70459E+12
860622566,273796933,28,114,564,14,1.70459E+12
860629499,273794633,28,125,561,15,1.70459E+12
860630416,273793666,25,142,559,15,1.70459E+12
860630116,273793100,22,177,559,15,1.70459E+12
860629750,273792333,26,195,558,14,1.70459E+12
860628850,273791116,26,212,556,14,1.70459E+12
860628050,273790666,28,227,555,14,1.70459E+12
860627283,273790333,30,237,554,14,1.70459E+12
860620550,273786200,17,230,549,15,1.70459E+12
860620233,273785950,6,228,548,15,1.70459E+12
860619716,273785016,17,222,548,15,1.70459E+12
860615799,273781516,19,232,541,15,1.70459E+12
860613733,273780283,15,244,538,14,1.70459E+12
860611166,273779150,19,231,537,14,1.70459E+12
860609766,273778033,23,218,537,14,1.70459E+12
860609049,273776966,25,205,537,15,1.70459E+12
860607983,273775416,23,224,535,15,1.70459E+12
860607433,273775133,21,242,534,14,1.70459E+12
860606900,273775083,20,264,533,15,1.70459E+12
860606233,273775216,23,280,532,15,1.70459E+12
860605499,273775516,27,295,531,14,1.70459E+12
860602350,273777416,37,299,527,15,1.70459E+12
860594766,273780916,32,289,524,15,1.70459E+12
860592366,273781416,25,273,524,15,1.70459E+12
860591700,273781366,22,261,524,15,1.70459E+12
860591183,273781133,20,248,524,15,1.70459E+12
860590883,273780833,17,229,524,15,1.70459E+12
860590633,273780366,19,213,524,15,1.70459E+12
860587366,273776083,12,224,525,16,1.70459E+12
860587066,273775883,12,240,525,16,1.70459E+12
860586633,273775816,14,257,525,16,1.70459E+12
860586216,273775766,15,267,525,16,1.70459E+12
860585316,273775900,17,281,526,16,1.70459E+12
860582516,273776216,14,249,529,14,1.70459E+12
860582149,273775983,14,238,529,15,1.70459E+12
860581950,273775700,11,224,529,15,1.70459E+12
860581349,273775250,6,276,532,13,1.70459E+12
860581033,273775399,0,276,534,15,1.70459E+12
860581616,273775716,7,46,531,15,1.70459E+12
860582149,273776016,11,76,531,15,1.70459E+12
860582883,273776183,16,91,531,16,1.70459E+12
860583416,273776100,19,101,531,16,1.70459E+12
860585250,273775900,21,88,530,14,1.70459E+12
860586400,273776016,20,77,529,13,1.70459E+12
860587350,273776249,18,59,527,14,1.70459E+12
860587683,273776483,17,48,527,13,1.70459E+12
860588666,273777583,19,37,524,14,1.70459E+12
860590250,273779750,29,34,522,15,1.70459E+12
860591550,273781300,23,44,521,15,1.70459E+12
860591999,273781600,21,54,521,14,1.70459E+12
860593083,273782416,13,26,521,15,1.70459E+12
860593266,273782816,16,12,521,16,1.70459E+12
860593283,273783283,18,0,521,16,1.70459E+12
860592916,273784483,26,343,521,15,1.70459E+12
860592100,273785750,30,326,521,15,1.70459E+12
860588750,273789333,31,316,521,15,1.70459E+12
860586683,273790766,30,303,521,16,1.70459E+12
860584366,273791850,29,293,519,16,1.70459E+12
860582983,273792483,25,303,518,16,1.70459E+12
860582500,273792916,23,320,519,16,1.70459E+12
860582216,273793400,22,336,518,16,1.70459E+12
860582216,273793900,19,355,518,16,1.70459E+12
860582600,273794466,24,24,517,16,1.70459E+12
860583150,273795050,26,39,517,16,1.70459E+12
860584350,273795916,26,52,516,16,1.70459E+12
860588850,273799033,18,42,518,15,1.70459E+12
860590133,273800250,17,52,520,15,1.70459E+12
860591200,273801100,14,39,522,15,1.70459E+12
860591333,273801433,15,26,522,15,1.70459E+12
860591449,273801783,15,12,523,15,1.70459E+12
860591500,273802183,13,353,523,14,1.70459E+12
860591216,273802766,11,326,524,13,1.70459E+12
860590866,273802933,12,298,525,12,1.70459E+12
860590383,273803100,15,288,525,12,1.70459E+12
860585600,273804900,8,303,528,13,1.70459E+12
860585366,273805366,7,22,530,15,1.70459E+12
860585833,273806550,17,27,533,14,1.70459E+12
860587283,273809016,11,55,538,14,1.70459E+12
860587566,273809100,10,86,539,14,1.70459E+12
860587933,273809033,12,103,539,15,1.70459E+12
860588283,273808883,14,113,539,14,1.70459E+12
860589133,273808450,19,124,540,15,1.70459E+12
860591449,273806800,15,135,544,15,1.70459E+12
860592500,273806166,13,121,546,16,1.70459E+12
860594350,273804833,6,133,547,15,1.70459E+12
860594616,273804683,0,138,549,16,1.70459E+12
860594616,273804683,0,138,549,17,1.70459E+12
